utt_id,text,category,h,s,b,dimmer,tag
1,낭만적인 분위기로 보라색 켜줘,romantic,26,60,67,95,romantic
2,고요하게 낮춰줘,calm,313,78,47,25,calm
3,피곤해 불 꺼줘,sleepy,264,87,75,71,sleepy
4,활기차게 아침을 시작하고 싶어,energetic,153,60,21,87,energetic
5,오늘은 잔잔하고 조용하게,calm,46,80,79,49,calm
6,로맨틱하게 은은하게,romantic,30,90,23,45,romantic
7,오늘은 잔잔하고 조용하게,calm,223,56,49,25,calm
8,집중 모드로 선명하게,focused,226,37,70,96,focused
9,지쳐서 은은하게,tired,53,69,28,50,tired
10,분위기 있게 보라빛으로,romantic,66,62,100,21,romantic
11,좀 차갑게 집중할 수 있게,focused,54,77,53,76,focused
12,피곤해 불 꺼줘,sleepy,348,36,55,40,sleepy
13,기분이 상쾌해 밝게 해줘,happy,220,61,96,26,happy
14,좀 차갑게 집중할 수 있게,focused,186,64,85,52,focused
15,잠 와서 어둡게 해줘,sleepy,337,59,53,73,sleepy
16,고요하게 낮춰줘,calm,332,81,90,90,calm
17,너무 졸려 불 조금만 줄여줘,sleepy,1,97,35,49,sleepy
18,지쳐서 은은하게,tired,74,28,96,67,tired
19,편안하게 차분한 불빛으로,calm,241,48,73,29,calm
20,기분이 상쾌해 밝게 해줘,happy,334,66,42,78,happy
21,활기차게 아침을 시작하고 싶어,energetic,3,44,94,49,energetic
22,지쳐서 은은하게,tired,48,41,28,81,tired
23,고요하게 낮춰줘,calm,298,77,38,31,calm
24,차갑고 선명한 빛으로,focused,31,87,30,40,focused
25,편안하게 차분한 불빛으로,calm,262,73,75,93,calm
26,오늘은 잔잔하고 조용하게,calm,190,82,51,99,calm
27,마음이 답답하고 우울해,sad,217,80,45,46,sad
28,좀 차갑게 집중할 수 있게,focused,58,62,34,76,focused
29,오늘 기분이 너무 좋아 환하게 켜줘,happy,204,48,89,91,happy
30,잠 와서 어둡게 해줘,sleepy,178,36,53,91,sleepy
31,지쳐서 은은하게,tired,5,26,86,63,tired
32,고요하게 낮춰줘,calm,57,31,40,30,calm
33,피곤하니 잔잔한 빛으로,tired,210,56,89,67,tired
34,우울하니 파랗게,sad,99,48,45,62,sad
35,피곤하니 잔잔한 빛으로,tired,139,97,92,53,tired
36,피곤해 불 꺼줘,sleepy,21,33,50,44,sleepy
37,집중 모드로 선명하게,focused,197,37,21,97,focused
38,좀 차갑게 집중할 수 있게,focused,195,29,26,74,focused
39,기분이 상쾌해 밝게 해줘,happy,189,91,69,20,happy
40,즐거우니 불을 환하게,happy,184,82,77,49,happy
41,마음이 답답하고 우울해,sad,16,29,60,72,sad
42,오늘 기분이 너무 좋아 환하게 켜줘,happy,296,68,91,78,happy
43,피곤하니 잔잔한 빛으로,tired,47,45,46,55,tired
44,짜증나니까 빨갛게 바꿔,angry,229,97,88,86,angry
45,오늘은 좀 슬퍼 차갑게,sad,155,81,51,83,sad
46,은은하고 따뜻하게,warm,286,32,32,54,warm
47,우울하니 파랗게,sad,76,69,75,28,sad
48,즐거우니 불을 환하게,happy,147,46,20,85,happy
49,분노가 치밀어 붉게,angry,303,42,34,21,angry
50,마음이 답답하고 우울해,sad,317,92,24,32,sad
51,피곤해 불 꺼줘,sleepy,214,52,49,46,sleepy
52,지쳐서 은은하게,tired,38,90,44,98,tired
53,너무 졸려 불 조금만 줄여줘,sleepy,181,72,73,90,sleepy
54,즐거우니 불을 환하게,happy,187,20,60,87,happy
55,너무 피곤하니 부드럽게 해줘,tired,134,70,29,89,tired
56,오늘은 좀 슬퍼 차갑게,sad,61,37,54,65,sad
57,화가 나서 강렬하게,angry,43,50,49,23,angry
58,포근하게 해줘,warm,163,38,96,75,warm
59,피곤해 불 꺼줘,sleepy,191,84,34,84,sleepy
60,고요하게 낮춰줘,calm,175,67,39,28,calm
61,너무 졸려 불 조금만 줄여줘,sleepy,148,72,58,69,sleepy
62,낭만적인 분위기로 보라색 켜줘,romantic,228,78,23,21,romantic
63,집중 모드로 선명하게,focused,57,40,84,37,focused
64,짜증나니까 빨갛게 바꿔,angry,304,34,24,65,angry
65,우울하니 파랗게,sad,83,89,79,100,sad
66,화가 나서 강렬하게,angry,274,27,25,58,angry
67,마음이 답답하고 우울해,sad,62,36,40,20,sad
68,오늘 기분이 너무 좋아 환하게 켜줘,happy,317,46,88,32,happy
69,분노가 치밀어 붉게,angry,220,25,56,34,angry
70,로맨틱하게 은은하게,romantic,152,36,27,89,romantic
71,좀 차갑게 집중할 수 있게,focused,169,60,77,68,focused
72,화가 나서 강렬하게,angry,354,59,72,44,angry
73,집중 모드로 선명하게,focused,222,40,63,66,focused
74,따뜻한 느낌으로 편안하게,warm,231,53,70,58,warm
75,즐거우니 불을 환하게,happy,259,99,38,48,happy
76,힘차게 켜줘,energetic,79,21,33,28,energetic
77,고요하게 낮춰줘,calm,322,33,86,51,calm
78,로맨틱하게 은은하게,romantic,316,50,27,28,romantic
79,차갑고 선명한 빛으로,focused,316,70,85,26,focused
80,차갑고 선명한 빛으로,focused,117,56,36,26,focused
81,너무 피곤하니 부드럽게 해줘,tired,251,67,70,85,tired
82,기분이 상쾌해 밝게 해줘,happy,105,79,58,35,happy
83,로맨틱하게 은은하게,romantic,23,34,50,86,romantic
84,은은하고 따뜻하게,warm,165,92,63,30,warm
85,오늘은 잔잔하고 조용하게,calm,288,83,91,67,calm
86,기분이 상쾌해 밝게 해줘,happy,137,74,34,20,happy
87,분노가 치밀어 붉게,angry,330,97,97,92,angry
88,너무 피곤하니 부드럽게 해줘,tired,293,56,83,60,tired
89,짜증나니까 빨갛게 바꿔,angry,12,43,86,94,angry
90,분노가 치밀어 붉게,angry,275,20,46,57,angry
91,집중 모드로 선명하게,focused,327,42,86,26,focused
92,짜증나니까 빨갛게 바꿔,angry,100,94,31,65,angry
93,잠 와서 어둡게 해줘,sleepy,286,97,30,57,sleepy
94,피곤해 불 꺼줘,sleepy,130,63,76,20,sleepy
95,편안하게 차분한 불빛으로,calm,126,75,65,90,calm
96,너무 피곤하니 부드럽게 해줘,tired,116,63,41,58,tired
97,활기차게 아침을 시작하고 싶어,energetic,73,27,41,70,energetic
98,잠 와서 어둡게 해줘,sleepy,163,89,87,80,sleepy
99,분노가 치밀어 붉게,angry,1,44,25,39,angry
100,분위기 있게 보라빛으로,romantic,223,73,44,68,romantic
101,우울하니 파랗게,sad,33,62,63,52,sad
102,활기차게 아침을 시작하고 싶어,energetic,201,98,53,83,energetic
103,편안하게 차분한 불빛으로,calm,0,54,27,77,calm
104,차갑고 선명한 빛으로,focused,289,22,76,70,focused
105,기분이 상쾌해 밝게 해줘,happy,249,32,55,47,happy
106,고요하게 낮춰줘,calm,31,40,40,64,calm
107,너무 피곤하니 부드럽게 해줘,tired,227,41,98,86,tired
108,오늘은 좀 슬퍼 차갑게,sad,158,32,52,75,sad
109,너무 피곤하니 부드럽게 해줘,tired,115,90,60,73,tired
110,너무 피곤하니 부드럽게 해줘,tired,264,99,50,41,tired
111,짜증나니까 빨갛게 바꿔,angry,150,68,30,58,angry
112,즐거우니 불을 환하게,happy,344,39,56,61,happy
113,힘차게 켜줘,energetic,58,20,28,88,energetic
114,에너지 넘치게 환하게,energetic,326,97,85,81,energetic
115,로맨틱하게 은은하게,romantic,281,60,64,53,romantic
116,좀 차갑게 집중할 수 있게,focused,311,79,92,97,focused
117,집중 모드로 선명하게,focused,258,80,43,74,focused
118,에너지 넘치게 환하게,energetic,249,37,98,46,energetic
119,에너지 넘치게 환하게,energetic,82,90,93,76,energetic
120,마음이 답답하고 우울해,sad,81,76,54,42,sad
121,오늘 기분이 너무 좋아 환하게 켜줘,happy,18,21,21,29,happy
122,활기차게 아침을 시작하고 싶어,energetic,96,73,29,44,energetic
123,오늘은 좀 슬퍼 차갑게,sad,117,72,22,69,sad
124,잠 와서 어둡게 해줘,sleepy,212,65,51,29,sleepy
125,너무 피곤하니 부드럽게 해줘,tired,255,41,74,39,tired
126,오늘은 좀 슬퍼 차갑게,sad,211,31,22,67,sad
127,분위기 있게 보라빛으로,romantic,72,94,85,60,romantic
128,즐거우니 불을 환하게,happy,286,82,83,21,happy
129,지쳐서 은은하게,tired,19,58,98,55,tired
130,분노가 치밀어 붉게,angry,333,57,69,47,angry
131,에너지 넘치게 환하게,energetic,298,64,95,25,energetic
132,오늘 기분이 너무 좋아 환하게 켜줘,happy,130,46,24,69,happy
133,너무 피곤하니 부드럽게 해줘,tired,139,35,100,33,tired
134,지쳐서 은은하게,tired,288,85,40,91,tired
135,에너지 넘치게 환하게,energetic,291,41,74,40,energetic
136,마음이 답답하고 우울해,sad,85,78,22,67,sad
137,화가 나서 강렬하게,angry,341,22,37,26,angry
138,마음이 답답하고 우울해,sad,179,23,99,82,sad
139,마음이 답답하고 우울해,sad,244,44,86,90,sad
140,오늘은 좀 슬퍼 차갑게,sad,349,30,76,94,sad
141,좀 차갑게 집중할 수 있게,focused,65,98,36,71,focused
142,낭만적인 분위기로 보라색 켜줘,romantic,306,50,69,63,romantic
143,오늘은 좀 슬퍼 차갑게,sad,162,49,43,66,sad
144,분위기 있게 보라빛으로,romantic,46,75,31,62,romantic
145,분노가 치밀어 붉게,angry,6,30,30,65,angry
146,오늘은 좀 슬퍼 차갑게,sad,241,47,98,76,sad
147,은은하고 따뜻하게,warm,313,36,77,40,warm
148,힘차게 켜줘,energetic,246,57,42,80,energetic
149,화가 나서 강렬하게,angry,356,36,25,82,angry
150,은은하고 따뜻하게,warm,283,73,33,85,warm
151,잠 와서 어둡게 해줘,sleepy,255,26,52,99,sleepy
152,집중 모드로 선명하게,focused,317,82,57,63,focused
153,오늘은 좀 슬퍼 차갑게,sad,7,45,64,22,sad
154,집중 모드로 선명하게,focused,28,56,56,43,focused
155,오늘은 좀 슬퍼 차갑게,sad,148,49,52,34,sad
156,오늘은 좀 슬퍼 차갑게,sad,41,80,26,63,sad
157,분위기 있게 보라빛으로,romantic,54,42,66,82,romantic
158,분위기 있게 보라빛으로,romantic,5,61,50,65,romantic
159,포근하게 해줘,warm,80,67,53,34,warm
160,짜증나니까 빨갛게 바꿔,angry,13,41,25,35,angry
161,따뜻한 느낌으로 편안하게,warm,238,39,90,38,warm
162,분위기 있게 보라빛으로,romantic,200,57,54,76,romantic
163,잠 와서 어둡게 해줘,sleepy,340,65,75,45,sleepy
164,오늘은 좀 슬퍼 차갑게,sad,268,67,75,20,sad
165,즐거우니 불을 환하게,happy,291,65,31,86,happy
166,은은하고 따뜻하게,warm,78,21,76,99,warm
167,즐거우니 불을 환하게,happy,78,82,67,89,happy
168,마음이 답답하고 우울해,sad,150,69,47,76,sad
169,즐거우니 불을 환하게,happy,103,54,83,30,happy
170,고요하게 낮춰줘,calm,161,23,71,56,calm
171,분노가 치밀어 붉게,angry,331,46,39,21,angry
172,차갑고 선명한 빛으로,focused,271,98,27,94,focused
173,피곤하니 잔잔한 빛으로,tired,300,47,27,80,tired
174,분위기 있게 보라빛으로,romantic,168,33,96,94,romantic
175,화가 나서 강렬하게,angry,188,72,37,38,angry
176,우울하니 파랗게,sad,180,75,50,87,sad
177,즐거우니 불을 환하게,happy,102,83,100,30,happy
178,에너지 넘치게 환하게,energetic,54,37,47,40,energetic
179,로맨틱하게 은은하게,romantic,342,86,91,66,romantic
180,고요하게 낮춰줘,calm,119,68,79,46,calm
181,화가 나서 강렬하게,angry,264,93,63,98,angry
182,낭만적인 분위기로 보라색 켜줘,romantic,297,91,36,94,romantic
183,잠 와서 어둡게 해줘,sleepy,147,97,98,98,sleepy
184,즐거우니 불을 환하게,happy,351,70,47,20,happy
185,오늘은 좀 슬퍼 차갑게,sad,322,36,78,35,sad
186,좀 차갑게 집중할 수 있게,focused,143,95,99,31,focused
187,우울하니 파랗게,sad,200,81,31,63,sad
188,집중 모드로 선명하게,focused,262,68,37,29,focused
189,은은하고 따뜻하게,warm,349,88,34,51,warm
190,포근하게 해줘,warm,227,40,29,60,warm
191,분위기 있게 보라빛으로,romantic,222,57,94,40,romantic
192,오늘 기분이 너무 좋아 환하게 켜줘,happy,147,43,45,54,happy
193,오늘은 잔잔하고 조용하게,calm,87,50,37,94,calm
194,분노가 치밀어 붉게,angry,180,69,82,22,angry
195,마음이 답답하고 우울해,sad,343,100,21,20,sad
196,즐거우니 불을 환하게,happy,310,74,85,21,happy
197,피곤해 불 꺼줘,sleepy,329,36,66,98,sleepy
198,낭만적인 분위기로 보라색 켜줘,romantic,137,29,51,60,romantic
199,에너지 넘치게 환하게,energetic,34,74,51,87,energetic
200,편안하게 차분한 불빛으로,calm,256,56,85,52,calm
201,집중 모드로 선명하게,focused,203,79,38,59,focused
202,즐거우니 불을 환하게,happy,291,64,48,61,happy
203,우울하니 파랗게,sad,262,33,91,55,sad
204,고요하게 낮춰줘,calm,331,64,80,68,calm
205,집중 모드로 선명하게,focused,175,64,39,24,focused
206,잠 와서 어둡게 해줘,sleepy,103,41,86,93,sleepy
207,집중 모드로 선명하게,focused,68,30,79,37,focused
208,힘차게 켜줘,energetic,208,93,99,44,energetic
209,오늘은 잔잔하고 조용하게,calm,358,44,23,64,calm
210,너무 졸려 불 조금만 줄여줘,sleepy,353,25,82,48,sleepy
211,피곤해 불 꺼줘,sleepy,13,67,23,42,sleepy
212,분노가 치밀어 붉게,angry,295,52,48,92,angry
213,차갑고 선명한 빛으로,focused,344,67,79,68,focused
214,분노가 치밀어 붉게,angry,85,49,38,66,angry
215,오늘은 잔잔하고 조용하게,calm,240,88,96,62,calm
216,기분이 상쾌해 밝게 해줘,happy,110,82,68,96,happy
217,너무 졸려 불 조금만 줄여줘,sleepy,171,85,24,88,sleepy
218,분노가 치밀어 붉게,angry,99,59,27,25,angry
219,좀 차갑게 집중할 수 있게,focused,286,82,52,72,focused
220,화가 나서 강렬하게,angry,341,53,80,75,angry
221,에너지 넘치게 환하게,energetic,132,78,52,66,energetic
222,화가 나서 강렬하게,angry,87,85,54,28,angry
223,우울하니 파랗게,sad,309,52,90,33,sad
224,은은하고 따뜻하게,warm,23,95,98,69,warm
225,짜증나니까 빨갛게 바꿔,angry,85,96,51,41,angry
226,짜증나니까 빨갛게 바꿔,angry,307,24,50,61,angry
227,짜증나니까 빨갛게 바꿔,angry,349,82,85,81,angry
228,집중 모드로 선명하게,focused,140,36,41,85,focused
229,편안하게 차분한 불빛으로,calm,78,46,51,21,calm
230,너무 피곤하니 부드럽게 해줘,tired,324,35,62,29,tired
231,고요하게 낮춰줘,calm,160,52,36,42,calm
232,은은하고 따뜻하게,warm,350,100,20,93,warm
233,포근하게 해줘,warm,211,65,75,98,warm
234,피곤해 불 꺼줘,sleepy,39,73,70,42,sleepy
235,짜증나니까 빨갛게 바꿔,angry,232,82,91,60,angry
236,차갑고 선명한 빛으로,focused,321,73,30,91,focused
237,낭만적인 분위기로 보라색 켜줘,romantic,184,95,50,87,romantic
238,힘차게 켜줘,energetic,222,28,76,35,energetic
239,분노가 치밀어 붉게,angry,275,100,92,90,angry
240,너무 졸려 불 조금만 줄여줘,sleepy,151,36,80,78,sleepy
241,로맨틱하게 은은하게,romantic,270,88,71,51,romantic
242,피곤하니 잔잔한 빛으로,tired,127,100,48,64,tired
243,고요하게 낮춰줘,calm,12,92,55,31,calm
244,낭만적인 분위기로 보라색 켜줘,romantic,21,65,88,87,romantic
245,기분이 상쾌해 밝게 해줘,happy,50,77,27,64,happy
246,피곤하니 잔잔한 빛으로,tired,200,25,68,77,tired
247,마음이 답답하고 우울해,sad,214,83,77,57,sad
248,분위기 있게 보라빛으로,romantic,270,43,72,64,romantic
249,포근하게 해줘,warm,306,76,37,77,warm
250,로맨틱하게 은은하게,romantic,212,89,92,46,romantic
251,오늘은 좀 슬퍼 차갑게,sad,102,34,43,37,sad
252,에너지 넘치게 환하게,energetic,43,65,79,58,energetic
253,피곤해 불 꺼줘,sleepy,54,30,77,69,sleepy
254,로맨틱하게 은은하게,romantic,203,89,91,75,romantic
255,오늘은 좀 슬퍼 차갑게,sad,167,61,90,23,sad
256,마음이 답답하고 우울해,sad,236,28,64,40,sad
257,너무 졸려 불 조금만 줄여줘,sleepy,157,87,28,90,sleepy
258,오늘은 잔잔하고 조용하게,calm,280,79,52,47,calm
259,포근하게 해줘,warm,108,95,63,79,warm
260,피곤해 불 꺼줘,sleepy,86,68,34,76,sleepy
261,지쳐서 은은하게,tired,142,38,76,31,tired
262,잠 와서 어둡게 해줘,sleepy,208,66,82,88,sleepy
263,힘차게 켜줘,energetic,211,63,83,27,energetic
264,피곤하니 잔잔한 빛으로,tired,249,49,84,86,tired
265,편안하게 차분한 불빛으로,calm,138,46,47,36,calm
266,기분이 상쾌해 밝게 해줘,happy,209,69,49,48,happy
267,로맨틱하게 은은하게,romantic,225,90,95,78,romantic
268,로맨틱하게 은은하게,romantic,304,54,59,76,romantic
269,좀 차갑게 집중할 수 있게,focused,101,22,73,36,focused
270,집중 모드로 선명하게,focused,144,20,20,81,focused
271,즐거우니 불을 환하게,happy,49,66,45,25,happy
272,편안하게 차분한 불빛으로,calm,196,33,94,69,calm
273,마음이 답답하고 우울해,sad,0,24,46,28,sad
274,낭만적인 분위기로 보라색 켜줘,romantic,156,27,36,49,romantic
275,좀 차갑게 집중할 수 있게,focused,68,37,45,39,focused
276,포근하게 해줘,warm,187,63,20,54,warm
277,우울하니 파랗게,sad,91,44,73,65,sad
278,지쳐서 은은하게,tired,291,30,49,30,tired
279,너무 피곤하니 부드럽게 해줘,tired,334,78,50,91,tired
280,피곤하니 잔잔한 빛으로,tired,129,58,53,33,tired
281,짜증나니까 빨갛게 바꿔,angry,198,90,92,53,angry
282,힘차게 켜줘,energetic,237,48,53,29,energetic
283,힘차게 켜줘,energetic,235,49,29,46,energetic
284,너무 피곤하니 부드럽게 해줘,tired,304,34,78,75,tired
285,로맨틱하게 은은하게,romantic,358,85,21,23,romantic
286,낭만적인 분위기로 보라색 켜줘,romantic,344,22,89,89,romantic
287,오늘은 좀 슬퍼 차갑게,sad,240,25,71,48,sad
288,마음이 답답하고 우울해,sad,42,52,67,96,sad
289,마음이 답답하고 우울해,sad,215,28,82,44,sad
290,편안하게 차분한 불빛으로,calm,108,85,93,52,calm
291,지쳐서 은은하게,tired,268,89,56,68,tired
292,좀 차갑게 집중할 수 있게,focused,226,69,78,65,focused
293,짜증나니까 빨갛게 바꿔,angry,64,40,58,59,angry
294,피곤해 불 꺼줘,sleepy,336,22,20,74,sleepy
295,우울하니 파랗게,sad,111,92,24,67,sad
296,분노가 치밀어 붉게,angry,263,99,95,32,angry
297,피곤해 불 꺼줘,sleepy,76,59,78,32,sleepy
298,활기차게 아침을 시작하고 싶어,energetic,137,59,42,94,energetic
299,은은하고 따뜻하게,warm,208,98,90,37,warm
300,오늘 기분이 너무 좋아 환하게 켜줘,happy,8,32,61,91,happy
301,활기차게 아침을 시작하고 싶어,energetic,267,31,61,94,energetic
302,은은하고 따뜻하게,warm,153,68,88,39,warm
303,집중 모드로 선명하게,focused,6,38,77,64,focused
304,오늘은 잔잔하고 조용하게,calm,360,69,70,66,calm
305,잠 와서 어둡게 해줘,sleepy,13,41,47,75,sleepy
306,오늘은 좀 슬퍼 차갑게,sad,337,31,37,34,sad
307,고요하게 낮춰줘,calm,238,20,22,28,calm
308,로맨틱하게 은은하게,romantic,46,91,36,98,romantic
309,지쳐서 은은하게,tired,130,79,34,45,tired
310,좀 차갑게 집중할 수 있게,focused,304,68,30,37,focused
311,낭만적인 분위기로 보라색 켜줘,romantic,280,88,41,46,romantic
312,좀 차갑게 집중할 수 있게,focused,310,64,65,60,focused
313,낭만적인 분위기로 보라색 켜줘,romantic,263,77,80,23,romantic
314,힘차게 켜줘,energetic,206,32,42,82,energetic
315,우울하니 파랗게,sad,63,55,86,64,sad
316,힘차게 켜줘,energetic,22,96,100,86,energetic
317,집중 모드로 선명하게,focused,281,50,94,94,focused
318,너무 졸려 불 조금만 줄여줘,sleepy,149,72,33,44,sleepy
319,집중 모드로 선명하게,focused,295,55,38,38,focused
320,피곤하니 잔잔한 빛으로,tired,331,64,89,64,tired
321,집중 모드로 선명하게,focused,54,20,95,94,focused
322,기분이 상쾌해 밝게 해줘,happy,252,59,60,30,happy
323,은은하고 따뜻하게,warm,3,47,28,79,warm
324,분위기 있게 보라빛으로,romantic,48,47,26,29,romantic
325,화가 나서 강렬하게,angry,256,35,40,81,angry
326,편안하게 차분한 불빛으로,calm,360,72,61,27,calm
327,집중 모드로 선명하게,focused,108,73,38,43,focused
328,피곤해 불 꺼줘,sleepy,305,48,68,57,sleepy
329,에너지 넘치게 환하게,energetic,199,54,38,27,energetic
330,너무 졸려 불 조금만 줄여줘,sleepy,157,91,21,37,sleepy
331,낭만적인 분위기로 보라색 켜줘,romantic,228,91,36,52,romantic
332,잠 와서 어둡게 해줘,sleepy,42,74,69,97,sleepy
333,너무 피곤하니 부드럽게 해줘,tired,259,93,78,95,tired
